Compname,Surface Metal Bandcenter,Surface Oxygen Bandcenter,Surface Metal Bader Charge,Bulk Metal Bandcenter,Bulk Oxygen Bandcenter,"Intermediate (*O, *OH or *OOH)",Bulk Metal Charge,Bulk Oxygen Charge,Surface Oxygen Bader Charge,Adsorbate Oxygen Bandcenter,Adsorbed Oxygen Bader Charge
Mn_2_Rh_1_Mn_3_O_8,-3.431449826,-3.764241365,1.443291,-3.976433456,-4.014068148,OOH,0.039986833333333305,-0.02999,-1.11884125,-3.929842333,-0.389172
Co_2_Co_1_Ga_3_O_8,-3.337395578,-3.071104025,1.4663413333333335,-2.712128991,-3.069846271,O,1.5770509999999998,-1.18278775,-1.12573075,-3.428382168,-0.196048333
Co_2_Co_1_Ga_3_O_8,-2.756081628,-2.802088006,1.5200893333333332,-2.712128991,-3.069846271,OH,1.5770509999999998,-1.18278775,-1.08852625,-3.021725822,-0.951286
Co_2_Co_1_Ga_3_O_8,-3.181120176,-3.786459066,1.4772136666666666,-2.712128991,-3.069846271,OOH,1.5770509999999998,-1.18278775,-1.14628275,-4.590914656,-0.391226667
Ca_2_Lu_4_O_8,-2.203403223,-1.693550942,1.8554690000000003,-1.621734786,-1.311278969,O,1.8407196666666665,-1.38054,-1.38273775,-4.403985541,-0.245036333
Ca_2_Lu_4_O_8,-1.821791635,-1.025114659,1.8894833333333334,-1.621734786,-1.311278969,OH,1.8407196666666665,-1.38054,-1.23053025,-2.021793619,-1.183197
Ca_2_Lu_4_O_8,-2.462983028,-2.194251129,1.8796939999999998,-1.621734786,-1.311278969,OOH,1.8407196666666665,-1.38054,-1.37800475,-4.15432703,-0.378534667
Nb_1_Fe_5_O_8,-3.309186458,-3.745373965,1.5629603333333335,-5.530299677,-5.314970693,O,1.6257374999999998,-1.219303125,-1.098401,-1.665073533,-0.511671333
Nb_1_Fe_5_O_8,-3.689727209,-3.569671114,1.5602783333333334,-5.530299677,-5.314970693,OH,1.6257374999999998,-1.219303125,-1.144470667,-2.48891097,-1.140932
Nb_1_Fe_5_O_8,-3.522536043,-3.880376673,1.5678029999999998,-5.530299677,-5.314970693,OOH,1.6257374999999998,-1.219303125,-1.148766667,-3.434621062,-0.498975667
Cd_2_Ga_4_O_8,-4.245917556,-2.725039503,1.5994290000000007,-3.155256649,-2.170453186,O,1.6360901666666665,-1.22706725,-1.187974,-4.516822946,-0.148119333
Cd_2_Ga_4_O_8,-3.223292589,-1.82608736,1.664756333333333,-3.155256649,-2.170453186,OH,1.6360901666666665,-1.22706725,-1.08353975,-2.172547134,-1.128452
Cd_2_Ga_4_O_8,-4.656830547,-3.513114705,1.6291690000000003,-3.155256649,-2.170453186,OOH,1.6360901666666665,-1.22706725,-1.20858925,-3.489377271,-0.386895667
Fe_2_Fe_3_Sn_1_O_8,-3.914868104,-4.30054474,1.679454,-5.511503774,-4.940099632,O,1.6391863333333336,-1.22939025,-1.1066045,-3.800768973,-0.424540667
Fe_2_Fe_3_Sn_1_O_8,-3.432167117,-3.559767123,1.9031876666666667,-5.511503774,-4.940099632,OH,1.6391863333333336,-1.22939025,-1.191951,-3.071079233,-1.147551333
Fe_2_Fe_3_Sn_1_O_8,-3.733429905,-3.766479448,1.7597330000000004,-5.511503774,-4.940099632,OOH,1.6391863333333336,-1.22939025,-1.2014355,-3.656762889,-0.52011
Mn_2_Cr_1_Mn_3_O_8,-3.661042309,-3.430594389,1.6760053333333333,-4.013570084,-3.803072548,O,0.11296399999999969,-0.084723,-1.05642875,-2.354117442,-0.661000667
Mn_2_Cr_1_Mn_3_O_8,-3.414078574,-3.042973216,1.6362333333333334,-4.013570084,-3.803072548,OH,0.11296399999999969,-0.084723,-1.10710325,-2.91317411,-1.111497333
Mn_2_Cr_1_Mn_3_O_8,-3.644681235,-3.551649732,1.573558333333333,-4.013570084,-3.803072548,OOH,0.11296399999999969,-0.084723,-1.21154,-3.915304252,-0.407223333
Zn_2_Fe_4_O_8,-4.77364151,-2.750666296,1.5419523333333334,-5.734084387,-3.151742136,O,1.5497741666666667,-1.16233075,-1.03456075,-1.535879827,-0.424547333
